Unnamed: 0.1,Unnamed: 0,Title,Start,End,Description,Web Page,Media,Media Caption,Media Credit,Tag,Place,Location,Source,Source URL
36,36,湖北省武汉市,11/28/2022,,"武汉 盘龙城
今天上午居民堵住马路要求解封，随后发生冲突",,https://video.twimg.com/ext_tw_video/1597221892808646657/pu/vid/1280x720/T99yu32S0kYQ0Rjh.mp4?tag=12,2022-11-28 01:33:00,李老师不是你李老师 twitter@whyyoutouzhele,People,湖北省武汉市,"30.58108412692075,114.31620010268132",,https://twitter.com/whyyoutouzhele/status/1597222180764684296#m
37,37,浙江省杭州市,11/28/2022,,杭州 在西湖现场的网友投稿,,"<iframe src=""https://archive.org/embed/ip4HBjWYAAh3Zt"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 01:29:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597221212996128768#m
38,38,浙江省杭州市,11/28/2022,,"杭州 in77 最新情况
又来了更多警察",,"<iframe src=""https://archive.org/embed/ip2FJLWYAEMqFK"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 01:21:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597219026262167558#m
39,39,上海市上海市,11/28/2022,,"上海 世贸广场 此刻 
民警在排查手机，在微信里搜索“乌”开头的聊天记录",,"<iframe src=""https://archive.org/embed/ip1Y7wWAAEwYDa"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 01:19:00,李老师不是你李老师 twitter@whyyoutouzhele,People,上海市上海市,"31.24916171001514,121.48789948569473",,https://twitter.com/whyyoutouzhele/status/1597218540641472518#m
40,40,浙江省杭州市,11/28/2022,,"杭州 湖滨in77 阿迪达斯二楼三楼四楼全部拉窗帘遮挡住了。
店内世界杯比赛直播也全部取消
目前 周边商铺二楼及其以上的商铺全都拉帘了 湖滨所有店铺只留一个出入口 其他进出口暂时关闭",,"<iframe src=""https://archive.org/embed/ipz4wSWYAE2iI0"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 01:11:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597216640667906048#m
41,41,河南省洛阳市阳城县,11/28/2022,,河南洛阳上阳城 民众要求解封,,https://video.twimg.com/ext_tw_video/1597216125053550595/pu/vid/544x960/C4N1YL-k8TqFG42k.mp4?tag=12,2022-11-28 01:10:00,李老师不是你李老师 twitter@whyyoutouzhele,People,河南省洛阳市阳城县,"34.51847093539538, 112.1819775940222",,https://twitter.com/whyyoutouzhele/status/1597216370923827201#m
42,42,浙江省杭州市,11/28/2022,,杭州 抓人之后 现在恢复平静 目前苹果店开始关店,,"<iframe src=""https://archive.org/embed/ipzJ6rXkAEcyWL"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 01:08:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597215829468200960#m
43,43,浙江省杭州市,11/28/2022,,"杭州 西湖 补充视频
民众与警察交涉 不让带走拿菊花的男子",,https://video.twimg.com/ext_tw_video/1597213399640948736/pu/vid/720x1280/W7eSwrFQIjJ8lD_p.mp4?tag=12,2022-11-28 12:59:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597213567367118849#m
44,44,浙江省杭州市,11/28/2022,,杭州in77 女子被带走的过程,,https://video.twimg.com/ext_tw_video/1597211590444580865/pu/vid/720x1280/P3do1GgyjUHdydhr.mp4?tag=12,2022-11-28 12:52:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597211818879234049#m
45,45,浙江省杭州市,11/28/2022,,杭州 in77,,https://video.twimg.com/ext_tw_video/1597243587212808193/pu/vid/960x544/Hjyu7GaahRPn0k_m.mp4?tag=12,2022-11-28 12:48:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597210861676138503#m
